馬名,系統,category,距離,成長,ダート,体質,気性,実績,底力,安定,非凡,天性,父,父父,父父父,父父父父,父父母父,父母父,父母父父,父母母父,母父,母父父,母父父父,母父母父,母母父,母母父父,母母母父,pa:父,pa:父父,pa:父父父,pa:父父父父,pa:父父母父,pa:父母父,pa:父母父父,pa:父母母父,pa:母父,pa:母父父,pa:母父父父,pa:母父母父,pa:母母父,pa:母母父父,pa:母母母父,chi:父,chi:父父,chi:父父父,chi:父父父父,chi:父父母父,chi:父母父,chi:父母父父,chi:父母母父,chi:母父,chi:母父父,chi:母父父父,chi:母父母父,chi:母母父,chi:母母父父,chi:母母母父
アイリッシュリヴァー-極走-,ネヴァーベンド系,11,1100m〜2800m,普通,◎,B,B,A,A,A,Victory,,リヴァーマン,ネヴァーベンド,ナスルーラ,ネアルコ,Djeddah,Prince John,プリンスキロ,Roman,Klairon,Clarion,Djebel,Kantar,East Side,Orwell,Black Devil,Nasrullah,Nasrullah,Nasrullah,Phalaris,Herod,St.Simon,St.Simon,Teddy,Herod,Herod,Herod,Eclipse,Hampton,Hampton,Teddy,ネヴァーベンド系,ネヴァーベンド系,ナスルーラ系,ネアルコ系,トウルビヨン系,プリンスキロ系,プリンスキロ系,テディ系,クラリオン系,クラリオン系,トウルビヨン系,エクリプス系,ハンプトン系,ハンプトン系,テディ系
アイリッシュリヴァー-燕闘-,ネヴァーベンド系,12,1100m〜2800m,普通,◎,B,B,A,A,A,Bravery,,リヴァーマン,ネヴァーベンド,ナスルーラ,ネアルコ,Djeddah,Prince John,プリンスキロ,Roman,Klairon,Clarion,Djebel,Kantar,East Side,Orwell,Black Devil,Nasrullah,Nasrullah,Nasrullah,Phalaris,Herod,St.Simon,St.Simon,Teddy,Herod,Herod,Herod,Eclipse,Hampton,Hampton,Teddy,ネヴァーベンド系,ネヴァーベンド系,ナスルーラ系,ネアルコ系,トウルビヨン系,プリンスキロ系,プリンスキロ系,テディ系,クラリオン系,クラリオン系,トウルビヨン系,エクリプス系,ハンプトン系,ハンプトン系,テディ系
アイリッシュリヴァー-覇走-,ネヴァーベンド系,11,1100m〜2800m,普通,◎,B,B,A,A,A,Riviere,,リヴァーマン,ネヴァーベンド,ナスルーラ,ネアルコ,Djeddah,Prince John,プリンスキロ,Roman,Klairon,Clarion,Djebel,Kantar,East Side,Orwell,Black Devil,Nasrullah,Nasrullah,Nasrullah,Phalaris,Herod,St.Simon,St.Simon,Teddy,Herod,Herod,Herod,Eclipse,Hampton,Hampton,Teddy,ネヴァーベンド系,ネヴァーベンド系,ナスルーラ系,ネアルコ系,トウルビヨン系,プリンスキロ系,プリンスキロ系,テディ系,クラリオン系,クラリオン系,トウルビヨン系,エクリプス系,ハンプトン系,ハンプトン系,テディ系
アウザール-覇煌-,フェアウェイ系,5,1800m〜2800m,普通,◎,B,B,A,A,C,,,Shergar,Great Nephew,Honeyway,Fairway,Admiral's Walk,ヴァルドロワール,Vieux Manoir,Charlottesville,ニジンスキー,ノーザンダンサー,ニアークティック,ブルページ,Charlottesville,Prince Chevalier,Botticelli,Fairway,Fairway,Fairway,Fairway,Hampton,Swynford,Swynford,St.Simon,Nearctic,Nearctic,Nearctic,Teddy,St.Simon,St.Simon,Fairway,フェアウェイ系,フェアウェイ系,フェアウェイ系,フェアウェイ系,ハイペリオン系,ブラントーム系,ブラントーム系,プリンスローズ系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,プリンスローズ系,プリンスローズ系,フェアウェイ系
アウザール-闘神-,フェアウェイ系,12,1800m〜2800m,普通,◎,B,B,A,A,C,Reverberate,,Shergar,Great Nephew,Honeyway,Fairway,Admiral's Walk,ヴァルドロワール,Vieux Manoir,Charlottesville,ニジンスキー,ノーザンダンサー,ニアークティック,ブルページ,Charlottesville,Prince Chevalier,Botticelli,Fairway,Fairway,Fairway,Fairway,Hampton,Swynford,Swynford,St.Simon,Nearctic,Nearctic,Nearctic,Teddy,St.Simon,St.Simon,Fairway,フェアウェイ系,フェアウェイ系,フェアウェイ系,フェアウェイ系,ハイペリオン系,ブラントーム系,ブラントーム系,プリンスローズ系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,プリンスローズ系,プリンスローズ系,フェアウェイ系
アウザール1992,フェアウェイ系,7,1800m〜2800m,普通,◎,B,B,A,A,C,Roar,,Shergar,Great Nephew,Honeyway,Fairway,Admiral's Walk,ヴァルドロワール,Vieux Manoir,Charlottesville,ニジンスキー,ノーザンダンサー,ニアークティック,ブルページ,Charlottesville,Prince Chevalier,Botticelli,Fairway,Fairway,Fairway,Fairway,Hampton,Swynford,Swynford,St.Simon,Nearctic,Nearctic,Nearctic,Teddy,St.Simon,St.Simon,Fairway,フェアウェイ系,フェアウェイ系,フェアウェイ系,フェアウェイ系,ハイペリオン系,ブラントーム系,ブラントーム系,プリンスローズ系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,プリンスローズ系,プリンスローズ系,フェアウェイ系
アカテナンゴ,ハンプトン系,5,1800m〜3000m,普通,△,A,B,A,B,A,Eruption,,Surumu,Literat,Birkhahn,Alchimist,Masetto,リライアンス,Tantieme,ハイペリオン,Aggressor,Combat,Big Game,ネアルコ,Mr.Jinks,Tetratema,He,Hampton,Hampton,Hampton,Hampton,Hampton,Teddy,Teddy,Hampton,Swynford,Swynford,Swynford,Phalaris,Herod,Herod,Eclipse,ハンプトン系,ハンプトン系,ハンプトン系,ハンプトン系,ハンプトン系,テディ系,テディ系,ハイペリオン系,ブランドフォード系,ブランドフォード系,ブランドフォード系,ネアルコ系,ヘロド系,ヘロド系,エクリプス系
アカテナンゴ-闘志-,ハンプトン系,5,1800m〜3000m,普通,△,A,B,A,B,A,,,Surumu,Literat,Birkhahn,Alchimist,Masetto,リライアンス,Tantieme,ハイペリオン,Aggressor,Combat,Big Game,ネアルコ,Mr.Jinks,Tetratema,He,Hampton,Hampton,Hampton,Hampton,Hampton,Teddy,Teddy,Hampton,Swynford,Swynford,Swynford,Phalaris,Herod,Herod,Eclipse,ハンプトン系,ハンプトン系,ハンプトン系,ハンプトン系,ハンプトン系,テディ系,テディ系,ハイペリオン系,ブランドフォード系,ブランドフォード系,ブランドフォード系,ネアルコ系,ヘロド系,ヘロド系,エクリプス系
アクアク-瞬発-,ヒムヤー系,5,1100m〜2000m,普通,◎,B,B,A,A,A,,,Battle Joined,Armageddon,Alsab,Good Goods,Sir Gallahad,Revoked,Blue Larkspur,Reaping Reward,Turn-to,Royal Charger,ネアルコ,Admiral Drake,プリンスキロ,Prince Rose,Sickle,Himyar,Himyar,Himyar,Himyar,Teddy,Himyar,Himyar,Phalaris,Royal Charger,Royal Charger,Phalaris,Eclipse,St.Simon,St.Simon,Phalaris,ヒムヤー系,ヒムヤー系,ヒムヤー系,ヒムヤー系,テディ系,ヒムヤー系,ヒムヤー系,ファラリス系,ロイヤルチャージャー系,ロイヤルチャージャー系,ネアルコ系,エクリプス系,プリンスキロ系,プリンスローズ系,ファラリス系
アグネスタキオン,ヘイルトゥリーズン系,5,1600m〜2500m,早熟,〇,C,B,A,A,B,,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,ロイヤルスキー,ラジャババ,ボールドルーラー,Involvement,リマンド,アルサイド,Sallymount,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Matchem,Swynford,Swynford,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,インテント系,ブレニム系,ブレニム系,オーエンテューダー系
アグネスタキオン-獅煌-,ヘイルトゥリーズン系,12,1200m〜2500m,早熟,〇,B,B,A,A,A,極点亜速,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,ロイヤルスキー,ラジャババ,ボールドルーラー,Involvement,リマンド,アルサイド,Sallymount,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Matchem,Swynford,Swynford,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,インテント系,ブレニム系,ブレニム系,オーエンテューダー系
アグネスタキオン-瞬天-,ヘイルトゥリーズン系,12,1200m〜2500m,早熟,〇,B,B,A,A,A,極致永速,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,ロイヤルスキー,ラジャババ,ボールドルーラー,Involvement,リマンド,アルサイド,Sallymount,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Matchem,Swynford,Swynford,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,インテント系,ブレニム系,ブレニム系,オーエンテューダー系
アグネスタキオン-瞬走-,ヘイルトゥリーズン系,11,1200m〜2500m,早熟,〇,C,B,A,A,A,究極光速,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,ロイヤルスキー,ラジャババ,ボールドルーラー,Involvement,リマンド,アルサイド,Sallymount,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Matchem,Swynford,Swynford,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,インテント系,ブレニム系,ブレニム系,オーエンテューダー系
アグネスタキオン-闘覇-,ヘイルトゥリーズン系,5,1600m〜2500m,早熟,〇,C,B,A,A,B,,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,ロイヤルスキー,ラジャババ,ボールドルーラー,Involvement,リマンド,アルサイド,Sallymount,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Matchem,Swynford,Swynford,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,インテント系,ブレニム系,ブレニム系,オーエンテューダー系
アグネスタキオン2008,ヘイルトゥリーズン系,7,1200m〜2500m,早熟,〇,C,B,A,A,A,超光速,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,ロイヤルスキー,ラジャババ,ボールドルーラー,Involvement,リマンド,アルサイド,Sallymount,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Matchem,Swynford,Swynford,Hampton,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,インテント系,ブレニム系,ブレニム系,オーエンテューダー系
アグネスデジタル-天煌-,レイズアネイティヴ系,12,1200m〜2000m,普通,◎,A,A,A,B,B,強瞬飛煉,,Crafty Prospector,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,インリアリティ,Intentionally,Royal Note,チーフズクラウン,ダンチヒ,ノーザンダンサー,セクレタリアト,アレッジド,ホイストザフラッグ,ワイルドリスク,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Matchem,Matchem,Himyar,Nearctic,Nearctic,Nearctic,Nasrullah,St.Simon,St.Simon,St.Simon,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,インテント系,インテント系,ヒムヤー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,リボー系,リボー系,ワイルドリスク系
アグネスデジタル-央天-,レイズアネイティヴ系,12,1200m〜2000m,普通,◎,A,A,A,B,B,強瞬創聖,,Crafty Prospector,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,インリアリティ,Intentionally,Royal Note,チーフズクラウン,ダンチヒ,ノーザンダンサー,セクレタリアト,アレッジド,ホイストザフラッグ,ワイルドリスク,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Matchem,Matchem,Himyar,Nearctic,Nearctic,Nearctic,Nasrullah,St.Simon,St.Simon,St.Simon,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,インテント系,インテント系,ヒムヤー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,リボー系,リボー系,ワイルドリスク系
アグネスデジタル-瞬天-,レイズアネイティヴ系,12,1200m〜2000m,普通,◎,A,A,A,B,B,強瞬双璧,,Crafty Prospector,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,インリアリティ,Intentionally,Royal Note,チーフズクラウン,ダンチヒ,ノーザンダンサー,セクレタリアト,アレッジド,ホイストザフラッグ,ワイルドリスク,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Matchem,Matchem,Himyar,Nearctic,Nearctic,Nearctic,Nasrullah,St.Simon,St.Simon,St.Simon,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,インテント系,インテント系,ヒムヤー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,リボー系,リボー系,ワイルドリスク系
アグネスデジタル-瞬走-,レイズアネイティヴ系,7,1200m〜2000m,普通,◎,A,A,A,B,B,砂芝両道,,Crafty Prospector,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,インリアリティ,Intentionally,Royal Note,チーフズクラウン,ダンチヒ,ノーザンダンサー,セクレタリアト,アレッジド,ホイストザフラッグ,ワイルドリスク,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Matchem,Matchem,Himyar,Nearctic,Nearctic,Nearctic,Nasrullah,St.Simon,St.Simon,St.Simon,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,インテント系,インテント系,ヒムヤー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ボールドルーラー系,リボー系,リボー系,ワイルドリスク系
アグネスワールド,ノーザンダンサー系,5,1000m〜1600m,早熟,〇,B,B,B,C,A,,,ダンチヒ,ノーザンダンサー,ニアークティック,ネアルコ,ネイティヴダンサー,Admiral's Voyage,Crafty Admiral,Petition,シアトルスルー,Bold Reasoning,Boldnesian,Poker,リファール,ノーザンダンサー,Gyr,Nearctic,Nearctic,Nearctic,Phalaris,Native Dancer,Teddy,Teddy,Fairway,Nasrullah,Nasrullah,Nasrullah,St.Simon,Nearctic,Nearctic,Native Dancer,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ネアルコ系,ネイティヴダンサー系,テディ系,テディ系,フェアトライアル系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,プリンスキロ系,ノーザンダンサー系,ノーザンダンサー系,ネイティヴダンサー系
アサティス1989,ノーザンダンサー系,7,1600m〜2500m,普通,◎,B,B,A,A,B,Mutation,,Topsider,ノーザンダンサー,ニアークティック,ネアルコ,ネイティヴダンサー,ラウンドテーブル,プリンスキロ,ナスルーラ,グロースターク,Ribot,Tenerani,アリバイ,バックパサー,Tom Fool,Swaps,Nearctic,Nearctic,Nearctic,Phalaris,Native Dancer,St.Simon,St.Simon,Nasrullah,St.Simon,St.Simon,St.Simon,Hampton,Tom Fool,Tom Fool,Hampton,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ネアルコ系,ネイティヴダンサー系,プリンスキロ系,プリンスキロ系,ナスルーラ系,リボー系,リボー系,セントサイモン系,ハイペリオン系,トムフール系,トムフール系,カーレッド系
アジダル-瞬闘-,ノーザンダンサー系,7,1000m〜2000m,普通,〇,A,B,A,A,B,,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Raise a Native,ネイティヴダンサー,Polynesian,Case Ace,Tom Fool,Menow,Blue Larkspur,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Native Dancer,Native Dancer,Phalaris,Teddy,Tom Fool,Phalaris,Himyar,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,レイズアネイティヴ系,ネイティヴダンサー系,ファラリス系,テディ系,トムフール系,ファラリス系,ヒムヤー系
アジト-燕闘-,オリオール系,collabo_1059_03,2000m〜2500m,普通,△,B,B,A,A,A,セイヤ,,セントクレスピン,Aureole,ハイペリオン,Gainsborough,Donatello,ネアルコ,Pharos,Blandford,Tom Fool,Menow,Pharamond,Bull Dog,Blue Larkspur,Black Servant,Man o'War,Hampton,Hampton,Hampton,Hampton,Swynford,Phalaris,Phalaris,Swynford,Tom Fool,Phalaris,Phalaris,Teddy,Himyar,Himyar,Matchem,オリオール系,オリオール系,ハイペリオン系,ハンプトン系,ブレニム系,ネアルコ系,ファロス系,ブランドフォード系,トムフール系,ファラリス系,ファラリス系,テディ系,ヒムヤー系,ヒムヤー系,マンノウォー系
アジュディミツオー2006,ノーザンダンサー系,5,1600m〜2100m,晩成,◎,A,A,A,B,B,光輝燦然,,アジュディケーティング,ダンチヒ,ノーザンダンサー,ニアークティック,Admiral's Voyage,Reviewer,ボールドルーラー,Swaps,ジャッジアンジェルーチ,Honest Pleasure,What a Pleasure,Victoria Park,トンピオン,Tom Fool,ネヴァービート,Nearctic,Nearctic,Nearctic,Nearctic,Teddy,Nasrullah,Nasrullah,Hampton,Nasrullah,Nasrullah,Nasrullah,Teddy,Tom Fool,Tom Fool,Nasrullah,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,ボールドルーラー系,ボールドルーラー系,カーレッド系,ボールドルーラー系,ボールドルーラー系,ボールドルーラー系,テディ系,トムフール系,トムフール系,ネヴァーセイダイ系
アドマイヤソン,レイズアネイティヴ系,collabo_1017,1400m〜3600m,普通,◎,B,A,A,B,B,持久走,,ティンバーカントリー,ウッドマン,ミスタープロスペクター,Raise a Native,バックパサー,Pretense,Endeavour,Swaps,トニービン,カンパラ,カラムーン,ホーンビーム,ノーザンダンサー,ニアークティック,Tom Fool,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Tom Fool,Phalaris,Phalaris,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nearctic,Nearctic,Tom Fool,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,トムフール系,ファラリス系,ファラリス系,カーレッド系,ゼダーン系,ゼダーン系,ゼダーン系,ハイペリオン系,ノーザンダンサー系,ニアークティック系,トムフール系
